fight_date,bout_id,has_title,rounds_scheduled,star_rating,fight_city,fight_region,fight_country,fight_venue,f_a_name,f_a_age,f_a_stance,f_a_is_southpaw,f_a_is_home,f_a_total_fights,f_a_total_wins,f_a_opponents_koed,f_a_win_ratio,f_a_ko_ratio,f_a_stopped_rate,f_a_kod_rate,f_a_rtd_rate,f_a_opp_win_pct,f_a_amateur_bouts,f_a_amateur_win_pct,f_a_ring_rust,f_a_career_len,f_a_fights_per_year,f_a_weight_shift,f_a_win_streak,f_a_loss_streak,f_a_last_5_ko,f_a_last_5_won,f_a_last_5_lost,f_a_weighted_wins,f_a_weighted_kos,f_a_weight_kg,f_a_height_cm,f_a_reach_cm,f_b_name,f_b_age,f_b_stance,f_b_is_southpaw,f_b_is_home,f_b_total_fights,f_b_total_wins,f_b_opponents_koed,f_b_win_ratio,f_b_ko_ratio,f_b_stopped_rate,f_b_kod_rate,f_b_rtd_rate,f_b_opp_win_pct,f_b_amateur_bouts,f_b_amateur_win_pct,f_b_ring_rust,f_b_career_len,f_b_fights_per_year,f_b_weight_shift,f_b_win_streak,f_b_loss_streak,f_b_last_5_ko,f_b_last_5_won,f_b_last_5_lost,f_b_weighted_wins,f_b_weighted_kos,f_b_weight_kg,f_b_height_cm,f_b_reach_cm,is_rematch,f_a_prev_win_vs_opp,stance_matchup,fights_diff,weighted_win_diff,momentum_diff,opp_win_pct_diff,fights_per_year_diff,opponents_koed_diff,ko_rate_diff,stopped_rate_diff,age_diff,age_squared_diff,height_diff,reach_diff,f_a_country_adv,f_a_hometown_adv,f_b_country_adv,f_b_hometown_adv,hometown_adv_diff,raw_result,target_fighter_a_won,target_is_stoppage
2025-12-13,3468966,1,10,3,STOCKTON,CALIFORNIA,USA,STOCKTON ARENA,ANTONIO MORAN,32.0,O,0,0.0,39.0,31,21,0.795,0.538,0.051,0.051,0.0,0.775,0.0,0.0,252,13.77,2.83,-0.09000000000000341,1,0,2,3,2,1.27,0.46,63.5,180.0,0.0,ERNESTO MERCADO,24.0,O,0,1.0,17.0,17,16,1.0,0.941,0.0,0.0,0.0,0.74,65.0,0.892,322,4.37,3.89,-1.5400000000000063,17,0,5,5,0,3.04,2.86,63.05,178.0,0.0,0,0,O vs O,22.0,-1.77,-16,0.034,-1.057,5,-0.403,0.051,8.0,64.0,2.0,,0,0,1,0,0,L,0,1
2025-12-13,3468967,1,12,3,STOCKTON,CALIFORNIA,USA,STOCKTON ARENA,JOE CORDINA,34.0,O,0,0.0,19.0,18,9,0.947,0.474,0.053,0.053,0.0,0.659,72.0,0.639,161,8.64,2.2,-0.22999999999999687,1,0,1,4,1,1.43,0.17,60.78,175.0,175.0,GABRIEL FLORES JR,25.0,O,0,1.0,29.0,27,8,0.931,0.276,0.0,0.0,0.0,0.776,20.0,0.9,184,8.61,3.37,0.0,6,0,0,5,0,2.84,0.23,61.14,175.0,177.0,0,0,O vs O,-10.0,-1.41,-5,-0.118,-1.171,1,0.198,0.053,9.0,81.0,0.0,-2.0,0,0,1,1,-1,W,1,0
2025-12-13,3481820,0,6,0,ORLANDO,FLORIDA,USA,CARIBE ROYALE ORLANDO,JORGE VILLEGAS,23.0,O,0,0.0,21.0,14,13,0.667,0.619,0.238,0.238,0.0,0.38,0.0,0.0,92,7.06,2.98,-59.51,0,6,0,0,5,0.47,0.44,0.0,170.0,0.0,TONY AGUILAR,26.0,O,0,1.0,16.0,13,4,0.813,0.25,0.0,0.0,0.0,0.486,5.0,0.2,189,6.5,2.46,-60.96,0,1,0,2,2,1.62,0.12,0.0,173.0,0.0,0,0,O vs O,5.0,-1.16,0,-0.106,0.515,9,0.369,0.238,-3.0,9.0,-3.0,,0,0,1,0,0,L,0,1
2025-12-13,3492300,1,10,1,CENTRO DE ENTRENAMIENTO TIERRA DE CAMPEONES ATHEYNA BYLON,,PANAMA,,JAIME ARBOLEDA,31.0,O,0,1.0,25.0,20,15,0.8,0.6,0.16,0.16,0.0,0.787,4.0,0.5,98,11.53,2.17,0.02999999999999403,0,0,1,2,2,0.83,0.65,61.23,177.0,183.0,ORLANDO MOSQUERA,27.0,S,1,1.0,21.0,15,3,0.714,0.143,0.048,0.048,0.0,0.576,0.0,0.0,259,9.45,2.22,-3.719999999999999,2,0,1,3,2,2.15,0.63,62.14,0.0,0.0,0,0,O vs S,4.0,-1.32,-2,0.211,-0.054,12,0.457,0.112,4.0,16.0,,,1,0,1,0,0,W,1,0
2025-12-12,3497264,0,12,4,DUBAI,,UNITED ARAB EMIRATES,DUTY FREE TENNIS STADIUM,MAXI HUGHES,35.0,S,1,0.0,38.0,29,6,0.763,0.158,0.079,0.026,0.053,0.523,0.0,0.0,203,15.24,2.49,0.09000000000000341,3,0,1,3,2,1.98,0.49,61.1,0.0,0.0,BAKHODUR USMONOV,27.0,O,0,0.0,11.0,11,5,1.0,0.455,0.0,0.0,0.0,0.867,76.0,0.645,143,4.97,2.21,-0.20000000000000284,11,0,3,5,0,3.31,1.82,61.0,174.0,0.0,0,0,S vs O,27.0,-1.33,-8,-0.344,0.279,1,-0.297,0.079,8.0,64.0,,,0,0,0,0,0,L,0,0
2025-12-11,3467985,0,10,1,GATINEAU,QUEBEC,CANADA,LAC LEAMY CASINO,JAMES CHEREJI,31.0,O,0,0.0,29.0,22,10,0.759,0.345,0.034,0.034,0.0,0.591,7.0,0.571,61,12.63,2.3,1.0,0,2,2,2,3,1.8,1.49,60.65,172.0,0.0,AVERY MARTIN DUVAL,24.0,O,0,1.0,15.0,14,8,0.933,0.533,0.0,0.0,0.0,0.603,26.0,0.846,98,6.49,2.31,0.0,14,0,3,5,0,2.81,1.58,61.14,170.0,0.0,0,0,O vs O,14.0,-1.01,-14,-0.011,-0.014,2,-0.189,0.034,7.0,49.0,2.0,,0,0,1,0,0,L,0,0
2025-12-08,3509463,0,8,1,SAINT PETERSBURG,,RUSSIA,KSK ARENA,ALEXEY MAZUR,34.0,S,1,1.0,12.0,11,5,0.917,0.417,0.0,0.0,0.0,0.661,97.0,0.773,369,7.53,1.59,0.7000000000000028,1,0,0,4,1,1.66,0.38,63.0,174.0,0.0,DASTAN SADUULY,23.0,O,0,0.0,14.0,12,12,0.857,0.857,0.143,0.071,0.071,0.239,0.0,0.0,184,7.23,1.94,0.8000000000000043,0,1,4,4,1,0.46,0.46,63.2,0.0,0.0,0,0,S vs O,-2.0,1.2,1,0.423,-0.342,-7,-0.44,-0.143,11.0,121.0,,,1,1,0,0,1,W,1,1
2025-12-07,3483209,0,8,2,OSAKA,OSAKA,JAPAN,EDION ARENA OSAKA,CRISTIANO AOQUI,36.0,O,0,0.0,32.0,18,11,0.563,0.344,0.156,0.125,0.031,0.685,0.0,0.0,209,19.15,1.67,-0.20000000000000284,1,0,0,2,3,1.12,0.05,60.9,174.0,178.0,ASO ISHIWAKI,26.0,O,0,1.0,24.0,15,11,0.625,0.458,0.125,0.125,0.0,0.702,0.0,0.0,140,8.32,2.88,-0.12999999999999545,2,0,3,3,2,2.28,2.01,61.1,173.0,178.0,0,0,O vs O,8.0,-1.17,-1,-0.016,-1.212,0,-0.115,0.031,10.0,100.0,1.0,0.0,0,0,1,0,0,W,1,1
2025-12-05,3508846,0,4,0,COSQUIN,CORDOBA,ARGENTINA,CENTRO DE CONGRESOS Y CONVENCIONES,RAMIRO HERNAN MARTINEZ LUCERO,32.0,S,1,1.0,14.0,8,3,0.571,0.214,0.357,0.357,0.0,0.793,0.0,0.0,54,8.99,1.56,1.6999999999999886,0,4,0,1,4,0.37,0.02,67.1,0.0,0.0,NESTOR RAUL ABDALLAH,30.0,S,1,1.0,20.0,10,3,0.5,0.15,0.2,0.2,0.0,0.645,0.0,0.0,91,7.99,2.5,-0.5,0,1,0,2,3,2.11,0.22,66.0,0.0,0.0,1,1,S vs S,-6.0,-1.75,0,0.148,-0.945,0,0.064,0.157,2.0,4.0,,,1,0,1,0,0,W,1,1
2025-11-29,3464533,0,10,1,FRESNO,CALIFORNIA,USA,SAVE MART ARENA,RICARDO QUIROZ,28.0,O,0,1.0,19.0,13,7,0.684,0.368,0.0,0.0,0.0,0.491,6.0,0.333,260,8.64,2.2,-0.6400000000000006,0,4,1,1,4,0.39,0.24,64.86,178.0,0.0,CARLOS BALDERAS,29.0,O,0,1.0,18.0,16,14,0.889,0.778,0.056,0.056,0.0,0.637,48.0,0.75,140,8.64,2.08,0.27000000000001023,2,0,3,4,1,1.73,1.64,64.68,175.0,185.0,0,0,O vs O,1.0,-1.35,-2,-0.147,0.115,-7,-0.409,-0.056,-1.0,1.0,3.0,,1,0,1,0,0,L,0,0
